/home/farah/PycharmProjects/Change-History-Data-to-Enhance-Class-Change-Proneness-Prediction-Models/venv/bin/python /home/farah/PycharmProjects/Change-History-Data-to-Enhance-Class-Change-Proneness-Prediction-Models/scripts/statistical scripts/normality.py 
(111917, 198)
commons-io, uniqueWordsQty, 1.000, 0.000, NotGaussian
commons-io, modifiers, 0.831, 0.000, NotGaussian
commons-io, logStatementsQty, 0.500, 0.000, NotGaussian
commons-io, AvgCyclomatic, 0.820, 0.000, NotGaussian
commons-io, AvgCyclomaticModified, 0.820, 0.000, NotGaussian
commons-io, AvgCyclomaticStrict, 0.820, 0.000, NotGaussian
commons-io, AvgLine, 0.974, 0.000, NotGaussian
commons-io, AvgLineBlank, 0.500, 0.000, NotGaussian
commons-io, AvgLineCode, 0.956, 0.000, NotGaussian
commons-io, AvgLineComment, 0.605, 0.000, NotGaussian
commons-io, Cyclomatic, 0.500, 0.000, NotGaussian
commons-io, CyclomaticModified, 0.500, 0.000, NotGaussian
commons-io, CyclomaticStrict, 0.500, 0.000, NotGaussian
commons-io, Essential, 0.500, 0.000, NotGaussian
commons-io, MaxCyclomatic, 0.820, 0.000, NotGaussian
commons-io, MaxCyclomaticModified, 0.820, 0.000, NotGaussian
commons-io, MaxCyclomaticStrict, 0.820, 0.000, NotGaussian
commons-io, MaxEssential, 0.820, 0.000, NotGaussian
commons-io, MaxInheritanceTree, 0.820, 0.000, NotGaussian
commons-io, MaxNesting, 0.518, 0.000, NotGaussian
commons-io, PercentLackOfCohesion, 0.500, 0.000, NotGaussian
commons-io, RatioCommentToCode, 0.500, 0.000, NotGaussian
commons-io, SumCyclomatic, 0.920, 0.000, NotGaussian
commons-io, SumCyclomaticModified, 0.920, 0.000, NotGaussian
commons-io, SumCyclomaticStrict, 0.920, 0.000, NotGaussian
commons-io, SumEssential, 0.915, 0.000, NotGaussian
commons-io, BOC, 0.841, 0.000, NotGaussian
commons-io, TACH, 0.500, 0.000, NotGaussian
commons-io, FCH, 0.500, 0.000, NotGaussian
commons-io, LCH, 0.993, 0.000, NotGaussian
commons-io, CHO, 0.622, 0.000, NotGaussian
commons-io, FRCH, 0.747, 0.000, NotGaussian
commons-io, CHD, 0.500, 0.000, NotGaussian
commons-io, WCD, 0.500, 0.000, NotGaussian
commons-io, WFR, 0.984, 0.000, NotGaussian
commons-io, ATAF, 0.500, 0.000, NotGaussian
commons-io, LCA, 0.894, 0.000, NotGaussian
commons-io, LCD, 0.500, 0.000, NotGaussian
commons-io, CSB, 0.940, 0.000, NotGaussian
commons-io, CSBS, 0.500, 0.000, NotGaussian
