Dataset;Algoritm;Approach;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score;Accuracy;Sensitivity;Specificity;ROC
commons-io;LogistRegression;Our;4;AF;ROS;0.7706900146;0.6431234459;0.8088532349;0.7706900146;0.7740429505;0.7702686847;0.7721558176
commons-io;LogistRegression;Our;4;StEv;SMOTE;0.7690223056;0.6413618877;0.8075612997;0.7690223056;0.7721755369;0.7686260706;0.7704008038
commons-io;LogistRegression;Our;4;AF;SMOTE;0.7723577236;0.6436397923;0.8099953289;0.7723577236;0.7675070028;0.772967265;0.7702371339
commons-io;LogistRegression;Our;4;AF;NONE;0.7637064832;0.6374941029;0.8036369501;0.7637064832;0.7777777778;0.7619382846;0.7698580312
commons-io;LogistRegression;Our;4;StEv;NONE;0.7618303106;0.6361235169;0.8022464158;0.7618303106;0.7796451914;0.7595916931;0.7696184422
commons-io;LogistRegression;Our;4;StEv;ADA;0.7598499062;0.6343960206;0.8007451942;0.7598499062;0.7796451914;0.7573624311;0.7685038112
commons-io;MLP;Our;4;Ev;ROS;0.803;0.665;0.832;0.803;0.723;0.813;0.768
commons-io;LogistRegression;Our;4;AF;ADA;0.7601626016;0.6342596352;0.8009373587;0.7601626016;0.776844071;0.7580664085;0.7674552398
commons-io;MLP;Our;4;St;NONE;0.913;0.775;0.912;0.913;0.577;0.956;0.766
commons-io;MLP;Our;4;EvSm;SMOTE;0.861163227;0.7131180008;0.8731924387;0.861163227;0.639589169;0.8890062185;0.7642976937
commons-io;MLP;Our;4;EvSm;ADA;0.8630393996;0.7148735982;0.8745224635;0.8630393996;0.6367880486;0.8914701396;0.7641290941
commons-io;DT;Our;4;EvSm;ROS;0.9091098603;0.7628941199;0.9075184493;0.9091098603;0.5546218487;0.9536548164;0.7541383326
commons-io;MLP;Our;4;Ev;SMOTE;0.809;0.664;0.836;0.809;0.680;0.825;0.753
commons-io;MLP;Our;4;Ev;ADA;0.792;0.651;0.823;0.792;0.702;0.803;0.752
commons-io;DT;Our;4;EvSm;NONE;0.9110902647;0.7603463516;0.9079798962;0.9110902647;0.5284780579;0.9591693066;0.7438236822
commons-io;RandomForest;Our;4;EvSm;NONE;0.9379820721;0.7970322361;0.9284091189;0.9379820721;0.4687208217;0.996949431;0.7328351263
commons-io;DT;Our;4;Ev;NONE;0.903;0.742;0.900;0.903;0.508;0.952;0.730
commons-io;DT;Our;4;Ev;ROS;0.899;0.733;0.896;0.899;0.493;0.950;0.722
commons-io;RandomForest;Our;4;Ev;NONE;0.934;0.779;0.923;0.934;0.434;0.997;0.715
commons-io;LogistRegression;Our;4;StSm;SMOTE;0.6853241609;0.5679218723;0.742863255;0.6853241609;0.7348272642;0.679103602;0.7069654331
commons-io;LogistRegression;Our;4;StSm;ROS;0.6874087972;0.5687184832;0.7444546683;0.6874087972;0.7292250233;0.6821541711;0.7056895972
commons-io;LogistRegression;Our;4;St;ROS;0.682;0.565;0.740;0.682;0.734;0.676;0.705
commons-io;LogistRegression;Our;4;St;SMOTE;0.683;0.566;0.741;0.683;0.732;0.677;0.705
commons-io;LogistRegression;Our;4;StSm;NONE;0.6838649156;0.5657885978;0.7416640166;0.6838649156;0.7273576097;0.6783996245;0.7028786171
commons-io;LogistRegression;Our;4;St;NONE;0.686;0.566;0.743;0.686;0.718;0.682;0.700
commons-io;LogistRegression;Our;4;EvSm;NONE;0.6830310611;0.5642526957;0.7409618949;0.6830310611;0.720821662;0.678282295;0.6995519785
commons-io;LogistRegression;Our;4;St;ADA;0.699;0.573;0.753;0.699;0.697;0.699;0.698
commons-io;MLP;Our;4;StSm;NONE;0.9247446321;0.7521586616;0.9128020106;0.9247446321;0.4042950514;0.9901443154;0.6972196834
commons-io;LogistRegression;Our;4;EvSm;ROS;0.6895976652;0.5667997288;0.745948167;0.6895976652;0.7040149393;0.6877859908;0.6959004651
commons-io;LogistRegression;Our;4;EvSm;SMOTE;0.6885553471;0.565210338;0.7450864648;0.6885553471;0.6984126984;0.6873166725;0.6928646855
commons-io;LogistRegression;Our;4;EvSm;ADA;0.6877214926;0.5633687737;0.74436027;0.6877214926;0.6900093371;0.6874340021;0.6887216696
commons-io;LogistRegression;Our;4;StSm;ADA;0.6956431103;0.567514608;0.7503590352;0.6956431103;0.6778711485;0.6978763346;0.6878737415
commons-io;LogistRegression;Our;4;Ev;NONE;0.630;0.522;0.698;0.630;0.697;0.622;0.659
commons-io;LogistRegression;Our;4;Ev;ROS;0.635;0.525;0.703;0.635;0.684;0.629;0.657
commons-io;LogistRegression;Our;4;Ev;SMOTE;0.639;0.526;0.706;0.639;0.673;0.635;0.654
commons-io;LogistRegression;Our;4;Ev;ADA;0.637;0.523;0.705;0.637;0.664;0.634;0.649
commons-io;MLP;Our;4;EvSm;NONE;0.8991036064;0.6333398767;0.8758069817;0.8991036064;0.2138188609;0.9852164731;0.599517667
commons-io;MLP;Our;4;Ev;NONE;0.893;0.568;0.859;0.893;0.115;0.991;0.553
junit4;RandomForest;Our;4;Ev;ADA;0.968;0.862;0.970;0.968;0.897;0.971;0.934
junit4;RandomForest;Our;4;EvSm;ADA;0.9699903195;0.8689944363;0.9721059995;0.9699903195;0.8878504673;0.9744767739;0.9311636206
junit4;RandomForest;Our;4;Ev;SMOTE;0.964;0.848;0.967;0.964;0.879;0.968;0.923
junit4;RandomForest;Our;4;EvSm;SMOTE;0.9670861568;0.8573743264;0.9695080515;0.9670861568;0.8691588785;0.9724349158;0.9207968971
junit4;MLP;Our;4;Ev;SMOTE;0.946;0.796;0.953;0.946;0.860;0.950;0.905
junit4;MLP;Our;4;StEv;ROS;0.9636979671;0.8372912324;0.9658498665;0.9636979671;0.7943925234;0.9729453803;0.8836689518
junit4;DT;Our;4;Ev;ADA;0.961;0.830;0.964;0.961;0.794;0.970;0.882
junit4;DT;Our;4;Ev;SMOTE;0.958;0.820;0.961;0.958;0.794;0.967;0.881
junit4;RandomForest;Our;4;AF;SMOTE;0.9738625363;0.8703708868;0.9741989122;0.9738625363;0.7757009346;0.9846860643;0.8801934994
junit4;MLP;Our;4;Ev;ADA;0.948;0.792;0.953;0.948;0.794;0.956;0.875
junit4;RandomForest;Our;4;Ev;ROS;0.971;0.858;0.972;0.971;0.766;0.982;0.874
junit4;RandomForest;Our;4;AF;ADA;0.9699903195;0.8548953505;0.9707409388;0.9699903195;0.7663551402;0.9811128127;0.8737339764
junit4;DT;Our;4;StEv;ADA;0.9675701839;0.8463908133;0.9686928266;0.9675701839;0.7663551402;0.97856049;0.8724578151
junit4;MLP;Our;4;AF;SMOTE;0.958857696;0.819726505;0.9616939793;0.958857696;0.7757009346;0.9688616641;0.8722812993
junit4;RandomForest;Our;4;StEv;SMOTE;0.9728944821;0.8644058262;0.973129306;0.9728944821;0.7570093458;0.9846860643;0.8708477051
junit4;RandomForest;Our;4;StEv;ADA;0.9714424008;0.8589730092;0.9718691139;0.9714424008;0.7570093458;0.9831546708;0.8700820083
junit4;LogistRegression;Our;4;StEv;SMOTE;0.8872216844;0.6879346279;0.911483767;0.8872216844;0.8504672897;0.8892291986;0.8698482441
junit4;RandomForest;Our;4;EvSm;ROS;0.9699903195;0.8536746966;0.9706217832;0.9699903195;0.7570093458;0.9816232772;0.8693163115
